Comment,Designator,Footprint,LCSC Part #
,LED1,SML0805,
,T1,SOT23-BEC,
1N4148,D1,SOD-123_MINI-SMA,
1k5,P1,3223G,
1µ,C1 C2 C4 C5 C6,C0805,
4 7µ,C3,153CLV-0405,
4k7,R3,R0805,
10k,R19,R0805,
27k,R12,R0805,
39,R18,R0805,
62,R21,R0805,
100,R8 R9 R22,R0805,
100n,C7,C0805,
180k,R1 R2,R0805,
270,R5 R6 R7 R20,R0805,
470,R4 R10 R11 R13 R14 R15 R16 R17,R0805,
1117-3.3V,IC1,SOT223,
BSS123,T2,SOT23,
